ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YGR165W	0.1807	1	nan	5327948780443858.000	5327948780443858.000	0.000	0	0	
YJL133W	0.185	1	nan	260357624301723.688	260357624301723.688	0.000	0	0	
YOR119C	0.1646	1	nan	1904869908238482276352.000	1904869908238482276352.000	0.000	0	0	
YDL095W	1.39	1	nan	14535312990027962325144002491318272.000	14535312990027962325144002491318272.000	0.000	0	0	
YEL072W	0.006208	1	nan	127064541263.561	127064541263.561	0.000	0	0	
YLR114C	0.06314	1	nan	705044643612502211767314040225792.000	705044643612502211767314040225792.000	0.000	0	0	
YGR166W	0.04361	1	nan	3708329768811558623772672.000	3708329768811558623772672.000	0.000	0	0	
YMR266W	0.3693	1	nan	6415632638251809750152219696225692155904.000	6415632638251809750152219696225692155904.000	0.000	0	0	
YJL134W	0.432	1	nan	2209011837541204480.000	2209011837541204480.000	0.000	0	0	
YAL001C	0.03665	1	nan	7057043394985675699577609961969023600007887978496.000	7057043394985675699577609961969023600007887978496.000	0.000	0	0	
YGR167W	0.547	1	nan	107449985196.003	107449985196.003	0.000	0	0	
YOR120W	0.01304	1	nan	143028721476708.531	143028721476708.531	0.000	0	0	
YDL097C	0.6522	1	nan	17958491240871938048.000	17958491240871938048.000	0.000	0	0	
YJL136C	20.51	1	nan	97978.015	97978.015	0.000	0	0	
YMR267W	0.1223	1	nan	175392235390727.969	175392235390727.969	0.000	0	0	
YOR122C	1.925	1	nan	3055679.512	3055679.512	0.000	0	0	
YLR115W	0.05328	1	nan	2908881321611763696370854886654345216.000	2908881321611763696370854886654345216.000	0.000	0	0	
YGR168C	0.02485	1	nan	87790274195684672.000	87790274195684672.000	0.000	0	0	
YDL098C	0.07751	1	nan	4066690346.883	4066690346.883	0.000	0	0	
YJL137C	0.03154	1	nan	182369072183691424.000	182369072183691424.000	0.000	0	0	
YAL002W	0.01333	1	nan	264941460897386530493397585134175579236235783578845184.000	264941460897386530493397585134175579236235783578845184.000	0.000	0	0	
YOR123C	0.4378	1	nan	506491545744603611136.000	506491545744603611136.000	0.000	0	0	
YLR116W	0.03707	1	nan	1375118563784161755136.000	1375118563784161755136.000	0.000	0	0	
YMR268C	0.05758	1	nan	80398872227730243584.000	80398872227730243584.000	0.000	0	0	
YGR169C	0.04468	1	nan	1427094995999410944.000	1427094995999410944.000	0.000	0	0	
YDL099W	0.2585	1	nan	3491287181948955.500	3491287181948955.500	0.000	0	0	
YAL003W	16.8	1	nan	4032718401.081	4032718401.081	0.000	0	0	
YJL138C	5.284	1	nan	72231203904135664.000	72231203904135664.000	0.000	0	0	
YMR269W	0.42	1	nan	15612714649.766	15612714649.766	0.000	0	0	
YLR117C	0.02389	1	nan	898964504266102183446844538880.000	898964504266102183446844538880.000	0.000	0	0	
YDL100C	1.62	1	nan	3989686999547842.000	3989686999547842.000	0.000	0	0	
YJL139C	0.05637	1	nan	20032973029604044800.000	20032973029604044800.000	0.000	0	0	
YMR270C	0.09575	1	nan	50009896055867632.000	50009896055867632.000	0.000	0	0	
YLR118C	0.2693	1	nan	52680502390.227	52680502390.227	0.000	0	0	
YAL005C	4.907	1	nan	180209526848846608021323776.000	180209526848846608021323776.000	0.000	0	0	
YJL140W	0.3957	1	nan	52266169001.386	52266169001.386	0.000	0	0	
YMR271C	0.02993	1	nan	49608999771.649	49608999771.649	0.000	0	0	
YAL007C	0.3824	1	nan	14217684064.267	14217684064.267	0.000	0	0	
YLR119W	0.4235	1	nan	24860602082.643	24860602082.643	0.000	0	0	
YOR124C	0.1462	1	nan	298473781532434067411459437038554746565277386574659584.000	298473781532434067411459437038554746565277386574659584.000	0.000	0	0	
YDL101C	0.1044	1	nan	31075999283809840267264.000	31075999283809840267264.000	0.000	0	0	
YGR170W	0.01578	1	nan	1721776170287075047900823204266397209255835860992.000	1721776170287075047900823204266397209255835860992.000	0.000	0	0	
YMR272C	0.9375	1	nan	117594508632327728.000	117594508632327728.000	0.000	0	0	
YAL008W	0.3037	1	nan	3908842557.046	3908842557.046	0.000	0	0	
YOR125C	0.1187	1	nan	100267536162.666	100267536162.666	0.000	0	0	
YLR120C	0.4911	1	nan	1476426097184769793064960.000	1476426097184769793064960.000	0.000	0	0	
YGR171C	0.06826	1	nan	13012936931197725798563840.000	13012936931197725798563840.000	0.000	0	0	
YJL141C	0.03763	1	nan	50140173034422009689431977031106560.000	50140173034422009689431977031106560.000	0.000	0	0	
YAL009W	0.1011	1	nan	1601408510806.819	1601408510806.819	0.000	0	0	
YOR126C	0.1747	1	nan	197925105006.073	197925105006.073	0.000	0	0	
YJL143W	0.9719	1	nan	63947121.249	63947121.249	0.000	0	0	
YLR121C	0.1085	1	nan	7873413909277469310976.000	7873413909277469310976.000	0.000	0	0	
YMR273C	0.07841	1	nan	2111259844418548977296191508156633841664.000	2111259844418548977296191508156633841664.000	0.000	0	0	
YGR172C	0.5365	1	nan	377505057277.054	377505057277.054	0.000	0	0	
YDL102W	0.1486	1	nan	5595978178687907292963832465045847802678083584.000	5595978178687907292963832465045847802678083584.000	0.000	0	0	
YAL010C	0.0355	1	nan	7351013823801912721408.000	7351013823801912721408.000	0.000	0	0	
YJL144W	0.06627	1	nan	856697.992	856697.992	0.000	0	0	
YLR125W	0.009696	1	nan	14667808.200	14667808.200	0.000	0	0	
YOR127W	0.02831	1	nan	11772860974223602877240519222215848633565184.000	11772860974223602877240519222215848633565184.000	0.000	0	0	
YMR274C	0.1718	1	nan	330582797131523.125	330582797131523.125	0.000	0	0	
YGR173W	0.4513	1	nan	17092962297115352.000	17092962297115352.000	0.000	0	0	
YDL103C	0.4503	1	nan	588107922607966060544.000	588107922607966060544.000	0.000	0	0	
YAL011W	0.06755	1	nan	1814794455015319126864297984.000	1814794455015319126864297984.000	0.000	0	0	
YEL073C	0.009257	223	50466691819	999849.763	600806.157	399043.607	0	0	
YJL145W	0.5227	1	nan	27723564104440.434	27723564104440.434	0.000	0	0	
YLR126C	0.1812	1	nan	760459317428.137	760459317428.137	0.000	0	0	
YGR174C	0.205	1	nan	370472637.414	370472637.414	0.000	0	0	
YMR275C	0.02512	1	nan	189377580044132771858800731294367351832576.000	189377580044132771858800731294367351832576.000	0.000	0	0	
YDL104C	0.02795	1	nan	1582165551491049728.000	1582165551491049728.000	0.000	0	0	
YOR128C	0.3226	1	nan	2569164307390919706935296.000	2569164307390919706935296.000	0.000	0	0	
YEL075C	0.03778	1	nan	3762575.342	3762575.342	0.000	0	0	
YAL012W	5.205	1	nan	78433105222963760.000	78433105222963760.000	0.000	0	0	
YJL146W	0.01936	1	nan	836369907195860615168.000	836369907195860615168.000	0.000	0	0	
YLR127C	0.004244	1	nan	6156074639021498572200086888819720192.000	6156074639021498572200086888819720192.000	0.000	0	0	
YGR175C	2.194	1	nan	917184914303161204736.000	917184914303161204736.000	0.000	0	0	
YEL076C	0.0227	1	nan	30294067693.668	30294067693.668	0.000	0	0	
YMR276W	1.41	1	nan	45193720118655208.000	45193720118655208.000	0.000	0	0	
YJL147C	0.01063	1	nan	200245293617216128.000	200245293617216128.000	0.000	0	0	
YOR129C	0.03172	1	nan	177011656229449544424634570993114808320.000	177011656229449544424634570993114808320.000	0.000	0	0	
YDL105W	0.03693	1	nan	1206459259681030912.000	1206459259681030912.000	0.000	0	0	
YAL013W	0.2613	1	nan	10946183561991088128.000	10946183561991088128.000	0.000	0	0	
YEL076CA	0.0084	1	nan	29968822397.595	29968822397.595	0.000	0	0	
YLR128W	0.05423	1	nan	5940272945531.381	5940272945531.381	0.000	0	0	
YOR130C	0.2081	1	nan	27139459053998.125	27139459053998.125	0.000	0	0	
YJL148W	0.8785	1	nan	115767928384.751	115767928384.751	0.000	0	0	
YGR177C	0.1036	1	nan	219149047954737196957696.000	219149047954737196957696.000	0.000	0	0	
YAL014C	0.1132	1	nan	1520063244444.300	1520063244444.300	0.000	0	0	
YMR277W	0.07395	1	nan	29333295933100463421158819102720.000	29333295933100463421158819102720.000	0.000	0	0	
YDL106C	0.04929	1	nan	4599182336874481346150400.000	4599182336874481346150400.000	0.000	0	0	
YOR131C	0.4567	1	nan	38274021109.535	38274021109.535	0.000	0	0	
YJL149W	0.05398	1	nan	61579445881807035841971748864.000	61579445881807035841971748864.000	0.000	0	0	
YDL107W	0.01289	1	nan	13447434925658272.000	13447434925658272.000	0.000	0	0	
YGR178C	0.5679	1	nan	4516733421464716385868543164416.000	4516733421464716385868543164416.000	0.000	0	0	
YMR278W	0.1679	1	nan	822970336212508607210586112.000	822970336212508607210586112.000	0.000	0	0	
YLR129W	0.2625	1	nan	3048047951955095059981549165407415304192.000	3048047951955095059981549165407415304192.000	0.000	0	0	
YJL151C	1.974	1	nan	11351547.248	11351547.248	0.000	0	0	
YAL015C	0.1061	1	nan	698778316730017024.000	698778316730017024.000	0.000	0	0	
YDL108W	0.1321	1	nan	142858104043120.031	142858104043120.031	0.000	0	0	
YOR132W	0.2318	1	nan	1738804179851829602942976.000	1738804179851829602942976.000	0.000	0	0	
YLR130C	0.1584	1	nan	4249259657677121536.000	4249259657677121536.000	0.000	0	0	
YGR179C	0.04286	1	nan	2917058101473868800.000	2917058101473868800.000	0.000	0	0	
YJL153C	0.01441	1	nan	111357180520788098285568.000	111357180520788098285568.000	0.000	0	0	
YMR279C	0.007247	1	nan	196624993497884148105216.000	196624993497884148105216.000	0.000	0	0	
YDL109C	0.03142	1	nan	7845848693423585976939184128.000	7845848693423585976939184128.000	0.000	0	0	
YAL016W	1.003	1	nan	1427557481584609871450341376.000	1427557481584609871450341376.000	0.000	0	0	
YEL077C	0.06919	1	nan	662711831775371901488112546042611915908512573001039872.000	662711831775371901488112546042611915908512573001039872.000	0.000	0	0	
YOR133W	11.04	1	nan	7340716479464823097982365544218624.000	7340716479464823097982365544218624.000	0.000	0	0	
YJL154C	0.0967	1	nan	12715965727350915038200390281602831220736.000	12715965727350915038200390281602831220736.000	0.000	0	0	
YDL110C	0.2034	1	nan	49174970.304	49174970.304	0.000	0	0	
YGR180C	2.986	1	nan	1654107703706582.000	1654107703706582.000	0.000	0	0	
YLR131C	0.02095	1	nan	2586103671580536250433462650011648.000	2586103671580536250433462650011648.000	0.000	0	0	
YOR134W	0.03239	1	nan	2712593323092299776.000	2712593323092299776.000	0.000	0	0	
YER001W	0.5204	1	nan	490650226995216847109451285528576.000	490650226995216847109451285528576.000	0.000	0	0	
YGR181W	1.239	1	nan	622747.183	622747.183	0.000	0	0	
YAL017W	0.03967	1	nan	909020419069715991497931644775001514722014815377778802688.000	909020419069715991497931644775001514722014815377778802688.000	0.000	0	0	
YJL155C	0.09238	1	nan	113822993464021204992.000	113822993464021204992.000	0.000	0	0	
YLR132C	0.07969	1	nan	45027069022086.461	45027069022086.461	0.000	0	0	
YGR183C	0.6642	5	nan	20191.374	18825.481	1365.894	0	0	
YDL111C	0.4351	1	nan	2382707116518.533	2382707116518.533	0.000	0	0	
YER002W	0.8385	1	nan	99768243344.739	99768243344.739	0.000	0	0	
YOR136W	1.896	1	nan	12685839087539736.000	12685839087539736.000	0.000	0	0	
YMR280C	0.007627	1	nan	1952806504232554493982785035186196942718866713012008193622016.000	1952806504232554493982785035186196942718866713012008193622016.000	0.000	0	0	
YJL156C	0.04267	1	nan	330803402738871395386772160512.000	330803402738871395386772160512.000	0.000	0	0	
YAL018C	0.03238	1	nan	524092760086905.125	524092760086905.125	0.000	0	0	
YER003C	0.972	1	nan	5170237755451267072.000	5170237755451267072.000	0.000	0	0	
YLR133W	0.1615	1	nan	14324326771973969806360576.000	14324326771973969806360576.000	0.000	0	0	
YMR281W	0.2422	1	nan	97771941240951.953	97771941240951.953	0.000	0	0	
YAL019W	0.1601	1	nan	443543986006694763094066525360625300275434881024.000	443543986006694763094066525360625300275434881024.000	0.000	0	0	
YER004W	0.7859	1	nan	78576065569.416	78576065569.416	0.000	0	0	
YJL157C	0.5799	1	nan	289919012654284475878436138379116544.000	289919012654284475878436138379116544.000	0.000	0	0	
YOR137C	0.005479	1	nan	1098419918349236872595636224.000	1098419918349236872595636224.000	0.000	0	0	
YLR134W	0.6981	1	nan	174452985849883815575552.000	174452985849883815575552.000	0.000	0	0	
YMR282C	0.02027	1	nan	28911880169558676357513216.000	28911880169558676357513216.000	0.000	0	0	
YDL112W	0.3176	1	nan	762290263163677891197271125974329846745922353810749542891520.000	762290263163677891197271125974329846745922353810749542891520.000	0.000	0	0	
YJL158C	15.41	1	nan	18720380689.722	18720380689.722	0.000	0	0	
YAL020C	0.1019	1	nan	1763039179494809.500	1763039179494809.500	0.000	0	0	
YER005W	0.1238	1	nan	2860201425050190097208573952.000	2860201425050190097208573952.000	0.000	0	0	
YOR138C	0.1477	1	nan	145993016293526762580162379776.000	145993016293526762580162379776.000	0.000	0	0	
YDL113C	0.01569	1	nan	5777453715796800315622162432.000	5777453715796800315622162432.000	0.000	0	0	
YMR283C	0.06586	1	nan	44567124469109739225088.000	44567124469109739225088.000	0.000	0	0	
YER006W	0.9703	1	nan	25808218467580690563072.000	25808218467580690563072.000	0.000	0	0	
YAL021C	0.3205	1	nan	608472096697193500073251079031095296.000	608472096697193500073251079031095296.000	0.000	0	0	
YLR135W	0.02164	1	nan	209176719149615803607456585613312.000	209176719149615803607456585613312.000	0.000	0	0	
YJL159W	4.526	1	nan	14543634612198560.000	14543634612198560.000	0.000	0	0	
YDL114W	0.01395	1	nan	159849230000458.875	159849230000458.875	0.000	0	0	
YER007CA	1.212	1	nan	631151714.675	631151714.675	0.000	0	0	
YAL022C	0.3804	1	nan	27428930185699782557696.000	27428930185699782557696.000	0.000	0	0	
YOR140W	0.02021	1	nan	829198565164610577989105681956864.000	829198565164610577989105681956864.000	0.000	0	0	
YLR136C	0.01976	1	nan	18369069952453.832	18369069952453.832	0.000	0	0	
YMR284W	0.03972	1	nan	198357565135690582162669568.000	198357565135690582162669568.000	0.000	0	0	
YGR184C	0.0558	1	nan	1961267631275352173299372807718329672325061522425205051038664139806158091416764416.000	1961267631275352173299372807718329672325061522425205051038664139806158091416764416.000	0.000	0	0	
YJL160C	0.04332	1	nan	9866982568461.508	9866982568461.508	0.000	0	0	
YDL115C	0.09927	1	nan	295846970676.269	295846970676.269	0.000	0	0	
YER007W	0.03175	1	nan	72937201401432509513728.000	72937201401432509513728.000	0.000	0	0	
YOR141C	0.1534	1	nan	39486086346976284564150337648080191488.000	39486086346976284564150337648080191488.000	0.000	0	0	
YAL023C	1.332	1	nan	79586727074702124929395663568896.000	79586727074702124929395663568896.000	0.000	0	0	
YGR185C	1.561	1	nan	185735269722537920.000	185735269722537920.000	0.000	0	0	
YMR285C	0.06188	1	nan	40148879832463615983616.000	40148879832463615983616.000	0.000	0	0	
YJL161W	0.02287	1	nan	981546516.737	981546516.737	0.000	0	0	
YLR137W	0.06799	1	nan	34416244625788488.000	34416244625788488.000	0.000	0	0	
YOR142W	0.6863	1	nan	298482454523610.562	298482454523610.562	0.000	0	0	
YMR286W	1.137	1	nan	126184.777	126184.777	0.000	0	0	
YDL116W	0.167	1	nan	13584708860456003213040075931648.000	13584708860456003213040075931648.000	0.000	0	0	
YER008C	0.1189	1	nan	180736554580993788812969695498942494065561985816626987008.000	180736554580993788812969695498942494065561985816626987008.000	0.000	0	0	
YAL024C	0.008283	1	nan	3463336341662327144231807087710183180302722369319645309042688.000	3463336341662327144231807087710183180302722369319645309042688.000	0.000	0	0	
YGR186W	0.2002	1	nan	31786752939432994952087540334592.000	31786752939432994952087540334592.000	0.000	0	0	
YJL162C	0.01508	1	nan	47679465990310688041467904.000	47679465990310688041467904.000	0.000	0	0	
YOR143C	0.1766	1	nan	349463179423126.438	349463179423126.438	0.000	0	0	
YER009W	2.061	1	nan	4354699.145	4354699.145	0.000	0	0	
YMR287C	0.004874	1	nan	220815299212788440573746434206028405932032.000	220815299212788440573746434206028405932032.000	0.000	0	0	
YDL117W	0.1217	1	nan	55517517319412951384808198691077750784.000	55517517319412951384808198691077750784.000	0.000	0	0	
YLR138W	0.1592	1	nan	323894590913795411205210437636058618265600.000	323894590913795411205210437636058618265600.000	0.000	0	0	
YGR187C	0.6323	1	nan	334582401173278656.000	334582401173278656.000	0.000	0	0	
YER010C	0.1305	1	nan	122106287811.450	122106287811.450	0.000	0	0	
YAL025C	0.364	1	nan	104296281812554.469	104296281812554.469	0.000	0	0	
YOR144C	0.04421	1	nan	13376445000934898644336307953729536.000	13376445000934898644336307953729536.000	0.000	0	0	
YER011W	4.828	1	nan	192330925340.738	192330925340.738	0.000	0	0	
YDL119C	0.01718	1	nan	146058836404774.938	146058836404774.938	0.000	0	0	
YJL163C	0.02992	1	nan	1256181297678439124303872.000	1256181297678439124303872.000	0.000	0	0	
YMR288W	0.02012	1	nan	116897041896760197179874256568926118871040.000	116897041896760197179874256568926118871040.000	0.000	0	0	
YLR139C	0.02423	1	nan	7712723818008205162507665408.000	7712723818008205162507665408.000	0.000	0	0	
YER012W	1.499	1	nan	3506859216.287	3506859216.287	0.000	0	0	
YGR188C	0.007665	1	nan	63991372361104285886366943295667578563723264.000	63991372361104285886366943295667578563723264.000	0.000	0	0	
YDL120W	0.02788	1	nan	595857639.947	595857639.947	0.000	0	0	
YOR145C	0.7669	1	nan	3815588059414.284	3815588059414.284	0.000	0	0	
YJL164C	0.09803	1	nan	556393924088876288.000	556393924088876288.000	0.000	0	0	
YAL026C	0.01246	1	nan	110857916735487413537096424079532848951225384230912524288.000	110857916735487413537096424079532848951225384230912524288.000	0.000	0	0	
YLR141W	0.02484	1	nan	43132346311581600.000	43132346311581600.000	0.000	0	0	
YMR289W	0.1701	1	nan	83834887637631712.000	83834887637631712.000	0.000	0	0	
YDL121C	0.4218	1	nan	47136363.561	47136363.561	0.000	0	0	
YER013W	0.01653	1	nan	1822775489696212817343245532454906233213178347520.000	1822775489696212817343245532454906233213178347520.000	0.000	0	0	
YLR142W	0.0427	1	nan	409384366225206149120.000	409384366225206149120.000	0.000	0	0	
YGR189C	2.22	1	nan	2742982572327045693440.000	2742982572327045693440.000	0.000	0	0	
YAL027W	0.1222	1	nan	1897792949060.796	1897792949060.796	0.000	0	0	
YMR290C	0.609	1	nan	5898592642435308847104.000	5898592642435308847104.000	0.000	0	0	
YOR147W	0.01203	1	nan	1164470347866332275551502336.000	1164470347866332275551502336.000	0.000	0	0	
YJL165C	0.04045	1	nan	3030017133177502144612722732508905472.000	3030017133177502144612722732508905472.000	0.000	0	0	
YER014W	0.1181	1	nan	281181290974051100000256.000	281181290974051100000256.000	0.000	0	0	
YDL122W	0.4884	1	nan	24446334075706575333273702695436288.000	24446334075706575333273702695436288.000	0.000	0	0	
YJL166W	1.656	1	nan	256754.218	256754.218	0.000	0	0	
YOR148C	0.09319	1	nan	1470643640.970	1470643640.970	0.000	0	0	
YLR143W	0.1333	1	nan	284951045728992721566875779072.000	284951045728992721566875779072.000	0.000	0	0	
YMR291W	0.03247	1	nan	21589727503820198997131264.000	21589727503820198997131264.000	0.000	0	0	
YAL028W	0.02582	1	nan	198679614100892572188672.000	198679614100892572188672.000	0.000	0	0	
YGR191W	1.463	1	nan	29708889761524840509997056.000	29708889761524840509997056.000	0.000	0	0	
YDL123W	0.08842	1	nan	24888692.249	24888692.249	0.000	0	0	
YJL167W	3.108	1	nan	3358142119686157.500	3358142119686157.500	0.000	0	0	
YER015W	0.02166	1	nan	36366909183511504864031308513280.000	36366909183511504864031308513280.000	0.000	0	0	
YOR149C	0.02365	1	nan	44422593127921462804480.000	44422593127921462804480.000	0.000	0	0	
YMR292W	0.4351	1	nan	13468505.583	13468505.583	0.000	0	0	
YDL124W	1.553	1	nan	147049652648173.250	147049652648173.250	0.000	0	0	
YER016W	0.2546	1	nan	4430424689630879.000	4430424689630879.000	0.000	0	0	
YLR144C	0.05295	1	nan	2319917508780717410290742232875008.000	2319917508780717410290742232875008.000	0.000	0	0	
YGR192C	36.3	1	nan	155266948360021.031	155266948360021.031	0.000	0	0	
YOR150W	0.3708	1	nan	166878840.963	166878840.963	0.000	0	0	
YJL168C	0.02984	1	nan	38655334053182700969091506634752.000	38655334053182700969091506634752.000	0.000	0	0	
YMR293C	0.1671	1	nan	306267808639358795776.000	306267808639358795776.000	0.000	0	0	
YDL125C	2.596	1	nan	81993803.426	81993803.426	0.000	0	0	
YJL170C	0.1002	1	nan	18064687319.880	18064687319.880	0.000	0	0	
YAL029C	0.04414	1	nan	24039684082518292284651075389125795681582076890532714783965184.000	24039684082518292284651075389125795681582076890532714783965184.000	0.000	0	0	
YER017C	0.2257	1	nan	222357264151314683963084967510016.000	222357264151314683963084967510016.000	0.000	0	0	
YGR193C	0.3291	1	nan	1483981236957658368.000	1483981236957658368.000	0.000	0	0	
YLR145W	0.3164	1	nan	8183859548.240	8183859548.240	0.000	0	0	
YMR294W	0.1809	1	nan	91108042718887088.000	91108042718887088.000	0.000	0	0	
YOR151C	0.6788	1	nan	228285265017435629351668315271432300024410585169920.000	228285265017435629351668315271432300024410585169920.000	0.000	0	0	
YER018C	0.03372	1	nan	64130333891.404	64130333891.404	0.000	0	0	
YJL171C	0.5909	1	nan	206604311775510848.000	206604311775510848.000	0.000	0	0	
YAL030W	0.9914	1	nan	2358698.373	2358698.373	0.000	0	0	
YMR295C	3.559	1	nan	3410067108.484	3410067108.484	0.000	0	0	
YDL126C	2.554	1	nan	34613383297323092738786850070593536.000	34613383297323092738786850070593536.000	0.000	0	0	
YER019CA	1.767	1	nan	128708.522	128708.522	0.000	0	0	
YOR152C	0.01071	1	nan	1205291622054.777	1205291622054.777	0.000	0	0	
YGR194C	0.08771	1	nan	104258842305805758872158208.000	104258842305805758872158208.000	0.000	0	0	
YLR146C	0.2682	1	nan	51766181434754.070	51766181434754.070	0.000	0	0	
YDL127W	0.04597	1	nan	159547887630939.219	159547887630939.219	0.000	0	0	
YJL172W	0.3872	1	nan	3276228088042126636482560.000	3276228088042126636482560.000	0.000	0	0	
YMR296C	1.272	1	nan	949238754433364100382720.000	949238754433364100382720.000	0.000	0	0	
YER019W	0.4041	1	nan	736849905515093295104.000	736849905515093295104.000	0.000	0	0	
YGR195W	0.9092	1	nan	330821839420.693	330821839420.693	0.000	0	0	
YLR147C	0.7773	1	nan	590770.411	590770.411	0.000	0	0	
YAL031C	0.06297	1	nan	639122968838697634409281751089152.000	639122968838697634409281751089152.000	0.000	0	0	
YJL173C	1.62	1	nan	3738287.218	3738287.218	0.000	0	0	
YMR297W	3.138	1	nan	67282379318816489340928.000	67282379318816489340928.000	0.000	0	0	
YER020W	0.2395	1	nan	96037957580011864064.000	96037957580011864064.000	0.000	0	0	
YAL032C	0.02392	1	nan	130915521238409056.000	130915521238409056.000	0.000	0	0	
YDL128W	1.366	1	nan	853884606626651136.000	853884606626651136.000	0.000	0	0	
YMR298W	1.295	1	nan	43252414.339	43252414.339	0.000	0	0	
YGR196C	0.02978	1	nan	154950190178334410879708678420692992.000	154950190178334410879708678420692992.000	0.000	0	0	
YOR153W	0.4305	1	nan	52436448000761021708183609981888248452434363849556132760649728.000	52436448000761021708183609981888248452434363849556132760649728.000	0.000	0	0	
YJL174W	1.486	1	nan	4204523741425.405	4204523741425.405	0.000	0	0	
YLR148W	0.01794	1	nan	1406528642965245460734870989560199774208.000	1406528642965245460734870989560199774208.000	0.000	0	0	
YER021W	0.7425	1	nan	62317548620082782928896.000	62317548620082782928896.000	0.000	0	0	
YAL033W	0.3074	1	nan	541910511.212	541910511.212	0.000	0	0	
YDL129W	0.02873	1	nan	50019745881901.570	50019745881901.570	0.000	0	0	
YGR197C	0.04333	1	nan	560789862902505746202624.000	560789862902505746202624.000	0.000	0	0	
YOR154W	0.02878	1	nan	43866488139782999605510144.000	43866488139782999605510144.000	0.000	0	0	
YMR299C	0.01721	1	nan	306745277553457.688	306745277553457.688	0.000	0	0	
YJL176C	0.03597	1	nan	178831562340901972979087406343913472.000	178831562340901972979087406343913472.000	0.000	0	0	
YER022W	0.1891	1	nan	439314968725924360644483612672.000	439314968725924360644483612672.000	0.000	0	0	
YAL034C	0.006294	1	nan	4066109518909896192.000	4066109518909896192.000	0.000	0	0	
YDL130W	65.65	1	nan	445250.628	445250.628	0.000	0	0	
YLR149C	0.01722	1	nan	33062766360010847122857712943104.000	33062766360010847122857712943104.000	0.000	0	0	
YJL177W	19.24	1	nan	541219332.052	541219332.052	0.000	0	0	
YOR155C	0.08853	1	nan	82174400972183945216.000	82174400972183945216.000	0.000	0	0	
YER023W	1.887	1	nan	7117609632292.655	7117609632292.655	0.000	0	0	
YDL131W	1.329	1	nan	7359881675742987264.000	7359881675742987264.000	0.000	0	0	
YMR300C	0.1628	1	nan	7946841055360365625344.000	7946841055360365625344.000	0.000	0	0	
YGR198W	0.06892	1	nan	144504842798986920020246845441703936.000	144504842798986920020246845441703936.000	0.000	0	0	
YLR150W	8.503	1	nan	1769744559347.775	1769744559347.775	0.000	0	0	
YJL178C	0.5525	1	nan	3054428658675.431	3054428658675.431	0.000	0	0	
YAL034WA	0.02881	1	nan	36859155052866.578	36859155052866.578	0.000	0	0	
YJL179W	0.1812	1	nan	1186182.277	1186182.277	0.000	0	0	
YMR301C	0.1719	1	nan	311615823244231439269696110592.000	311615823244231439269696110592.000	0.000	0	0	
YDL132W	0.3878	1	nan	49011621872863532930487522236039168.000	49011621872863532930487522236039168.000	0.000	0	0	
YOR156C	0.006981	1	nan	29510067500935742883176925626368.000	29510067500935742883176925626368.000	0.000	0	0	
YGR199W	0.3549	1	nan	332107661896606751546287660728320.000	332107661896606751546287660728320.000	0.000	0	0	
YLR151C	0.06781	1	nan	4325821422116135.000	4325821422116135.000	0.000	0	0	
YER024W	0.04376	1	nan	957822673123099389258430813253192908800.000	957822673123099389258430813253192908800.000	0.000	0	0	
YJL180C	0.1764	1	nan	723182070910482.875	723182070910482.875	0.000	0	0	
YDL133W	0.07527	1	nan	24465563257891627008.000	24465563257891627008.000	0.000	0	0	
YMR302C	0.1693	1	nan	905714830994042385672403616889044992.000	905714830994042385672403616889044992.000	0.000	0	0	
YOR157C	1.038	1	nan	926406858959.123	926406858959.123	0.000	0	0	
YAL035W	1.178	1	nan	138311927867036704826334461641103088025600.000	138311927867036704826334461641103088025600.000	0.000	0	0	
YDL134C	0.1846	1	nan	45802532808247736.000	45802532808247736.000	0.000	0	0	
YLR152C	0.02031	1	nan	8496084610927928023187456.000	8496084610927928023187456.000	0.000	0	0	
YER025W	1.996	1	nan	15106713496995221209088.000	15106713496995221209088.000	0.000	0	0	
YGR200C	0.3884	1	nan	1796248054121396874167858394824704.000	1796248054121396874167858394824704.000	0.000	0	0	
YJL181W	0.03623	1	nan	428525800594563327252758528.000	428525800594563327252758528.000	0.000	0	0	
YOR158W	0.1099	1	nan	366123839645098.375	366123839645098.375	0.000	0	0	
YMR303C	0.8098	1	nan	738356962776319.000	738356962776319.000	0.000	0	0	
YAL036C	1.44	1	nan	14155897205586492.000	14155897205586492.000	0.000	0	0	
YER026C	0.6633	1	nan	5103845433511.587	5103845433511.587	0.000	0	0	
YDL135C	0.536	1	nan	6049326241.042	6049326241.042	0.000	0	0	
YGR201C	0.01222	1	nan	63106702562.901	63106702562.901	0.000	0	0	
YJL183W	0.3945	1	nan	3754646511782679040.000	3754646511782679040.000	0.000	0	0	
YOR159C	0.5217	1	nan	246921.930	246921.930	0.000	0	0	
YDL136W	13.09	1	nan	2024573.197	2024573.197	0.000	0	0	
YLR153C	1.87	1	nan	16974877738146130948190633984.000	16974877738146130948190633984.000	0.000	0	0	
YAL037W	0.03306	1	nan	4055408442286.540	4055408442286.540	0.000	0	0	
YJL184W	0.3927	1	nan	4758283.523	4758283.523	0.000	0	0	
